Date,Close
2017-05-19,9435.4
2017-05-22,9438.0
2017-05-23,9379.4
2017-05-24,9370.15
2017-05-25,9501.25
2017-05-26,9580.9
2017-05-29,9598.45
2017-05-30,9625.85
2017-05-31,9625.7
2017-06-01,9616.6
2017-06-02,9642.35
2017-06-05,9676.45
2017-06-06,9636.9
2017-06-07,9662.15
2017-06-08,9642.7
2017-06-09,9666.65
2017-06-12,9618.1
2017-06-13,9597.5
2017-06-14,9613.0
2017-06-15,9574.15
2017-06-16,9578.0
2017-06-19,9654.15
2017-06-20,9649.95
2017-06-21,9636.45
2017-06-22,9624.0
2017-06-23,9576.15
2017-06-27,9509.8
2017-06-28,9492.8
2017-06-29,9494.25
2017-06-30,9524.95
2017-07-03,9615.55
2017-07-04,9610.65
2017-07-05,9641.35
2017-07-06,9668.95
2017-07-07,9665.35
2017-07-10,9762.2
2017-07-11,9786.4
2017-07-12,9822.85
2017-07-13,9886.25
2017-07-14,9886.7
2017-07-17,9913.65
2017-07-18,9828.45
2017-07-19,9902.05
2017-07-20,9870.9
2017-07-21,9914.15
2017-07-24,9965.55
2017-07-25,9964.8
2017-07-26,10020.3
2017-07-27,10020.6
2017-07-28,10002.95
2017-07-31,10076.95
2017-08-01,10120.35
2017-08-02,10058.1
2017-08-03,10003.85
2017-08-04,10068.5
2017-08-07,10049.6
2017-08-08,9977.1
2017-08-09,9900.3
2017-08-10,9850.0
2017-08-11,9712.95
2017-08-14,9790.85
2017-08-16,9900.65
2017-08-17,9903.85
2017-08-18,9834.45
2017-08-21,9751.45
2017-08-22,9775.1
2017-08-23,9847.6
2017-08-24,9865.7
2017-08-28,9911.9
2017-08-29,9793.0
2017-08-30,9886.35
2017-08-31,9915.8
2017-09-01,9971.05
2017-09-04,9904.35
2017-09-05,9946.5
2017-09-06,9915.15
2017-09-07,9924.0
2017-09-08,9924.4
2017-09-11,10005.95
2017-09-12,10087.6
2017-09-13,10085.7
2017-09-14,10087.0
2017-09-15,10085.4
2017-09-18,10154.4
2017-09-19,10149.35
2017-09-20,10139.55
2017-09-21,10123.6
2017-09-22,9963.6
2017-09-25,9875.6
2017-09-26,9855.25
2017-09-27,9738.3
2017-09-28,9760.2
2017-09-29,9782.95
2017-10-03,9854.75
2017-10-04,9924.5
2017-10-05,9887.1
2017-10-06,9987.2
2017-10-09,9987.95
2017-10-10,10013.8
2017-10-11,9970.1
2017-10-12,10098.0
2017-10-13,10161.75
2017-10-16,10233.05
2017-10-17,10238.35
2017-10-18,10214.8
2017-10-23,10191.3
2017-10-24,10207.7
2017-10-25,10293.75
2017-10-26,10336.3
2017-10-27,10319.2
2017-10-30,10365.25
2017-10-31,10340.0
2017-11-01,10441.55
2017-11-02,10425.45
2017-11-03,10453.65
2017-11-06,10435.8
2017-11-07,10351.4
2017-11-08,10313.8
2017-11-09,10324.6
2017-11-10,10334.4
2017-11-13,10222.6
2017-11-14,10181.65
2017-11-15,10129.55
2017-11-16,10231.45
2017-11-17,10274.75
2017-11-20,10297.05
2017-11-21,10321.25
2017-11-22,10346.85
2017-11-23,10350.95
2017-11-24,10393.3
2017-11-27,10404.65
2017-11-28,10363.8
2017-11-29,10350.65
2017-11-30,10229.45
2017-12-01,10119.8
2017-12-04,10137.9
